system,motifs,autodock
hdac2,0.4544750218158825,0.20609661538606427
gria2,0.551742223761678,1.2102294690195818
jak2,0.24515585642483403,1.6335892210287555
adrb2,4.750342461338973,1.9101917179669266
fa7,0.20402218016676543,1.3592075711680733
rxra,0.4198847063976807,1.71022291650043
akt2,0.18340612435688433,0.215633603847996
csf1r,0.5103631060333419,7.97984808639182
dhi1,0.17664485911002306,0.43911779789762195
met,0.287697644728991,11.864012446297156
esr1,0.40764865293831726,0.579911899195393
mk10,0.2904167264466704,0.4845874584429369
glcm,3.7248417128401963,3.4861422636587434
egfr,0.27377855461978234,3.3753838365417304
nram,0.5004647839758563,0.5377938724012313
pparg,0.44962019814577453,5.37641174666328
braf,1.7053142043958605,6.1200257367033055
nos1,5.829942486851822,8.168697928593144
pur2,0.29556578215170176,0.7633845878487387
reni,0.1419696986995366,0.5958077664914788
kit,0.30200752549323207,0.6876419306220558
gcr,0.2815277764073886,0.4529241404466507
abl1,0.34215836220613716,0.25075232090573313
inha,1.2589102610808072,1.8978571502157597
mp2k1,4.787183144766709,6.682861624185137
kif11,0.6386424522517912,0.6790144540520239
prgr,0.24720129749150097,0.4975271239811927
grik1,2.8725937093587772,0.7890296600455758
aces,0.30785966190550595,0.4459584909670989
ace,14.270046570638973,1.2441346657183543
pgh2,0.42395963160514416,0.5916325257685936
rock1,0.24847266784631838,6.564420557361599
mmp13,1.0074645509538147,1.104147062467776
pnph,0.45123328078080693,0.6494138158196356
tgfr1,4.2224820406170265,0.4242581416705291
src,0.3553978564420955,0.5366938743977598
thb,0.3269465880362899,1.4606291805313147
pyrd,0.18730792631188606,0.6226756570756009
lkha4,0.7572302791437848,3.1491375765424148
def,0.4817116088222014,6.732077079610144
pgh1,14.842730870698965,0.449662572099262
kpcb,0.31235867107211823,1.7937114691706646
parp1,0.3878785892518432,0.7697095442134557
casp3,9.535766401141698,6.4757153827484775
hdac8,8.254335576503044,4.7738029857907565
pygm,6.8159002497311905,0.4654001253141492
aldr,0.2431072560230039,0.7679087988895424
bace1,0.4299136956579612,8.68413588179298
hivpr,9.717743911613812,5.9764382234270625
cp2c9,0.6846004106208393,1.0900497971437921
fpps,3.948852626080137,6.334409899379731
ital,0.2202657485856572,0.8918248228181
thrb,0.4555609263048772,0.27070086254541653
cp3a4,6.354146704318371,5.0995019658146425
fa10,0.22582287029882508,0.4134999932768107
dyr,0.19136831852042102,5.841890066068509
tryb1,0.29743906939069054,0.2138469010473551
fnta,0.2142422015622332,8.311712792196142
urok,1.6304848844234445,0.8111097448123021
andr,6.651597663433236,0.49467468330090236
mcr,0.3805800734506359,0.273840868573056
ppara,0.5479153329860487,1.2141992001301325
kith,0.16930671784038034,0.3974583081938436
hivrt,0.5368799106518498,0.45358123559945196
hs90a,0.47185191243940855,0.3991602881804353
akt1,0.20024603288008097,0.2954485358101885
fkb1a,6.82019137836322,0.7169491242023035
sahh,0.2528671379868967,0.6867591107550681
hmdh,11.036925623660888,0.6609927072481572
aa2ar,6.6080637198047665,8.215818066654663
aofb,11.480501528990048,6.0450924003837185
mapk2,2.0153330690757665,0.41292937202495117
plk1,0.09281601424323234,0.5581428908264224
fgfr1,0.2718765038272577,0.2893641320107743
cxcr4,5.464717660694933,4.024954082572601
cah2,2.4197268182586233,1.1429675076772228
tysy,0.8434610486208243,8.366594579410393
ada,0.9731214595311317,5.980054922141438
ppard,0.3290815501766494,1.3479840851180602
igf1r,0.6617202329282871,7.015950534510611
dpp4,0.950201523616896,0.40558482816372915
fabp4,0.5171909705321625,0.6106810647604435
pa2ga,0.6615406681040523,6.256078564488395
ada17,3.452870472519929,6.445166930727507
lck,0.5259485082527883,6.295990855143105
cdk2,4.014622211366843,7.489335878838523
adrb1,0.2943433369383448,0.6795392265046458
ampc,5.979529547438969,8.07097335821798
esr2,0.26644679872673266,7.679942588080298
xiap,6.2319864604508926,2.9032604819485677
comt,10.337631115077988,7.416557803860179
fak1,,0.3975407920769711
vgfr2,,0.7166751165152676
try1,,1.8581538420784038
drd3,,0.9978775295605786
mk14,,0.6161528834552322
mk01,,0.4473469141028608
wee1,,0.8542168441100934
ptn1,,3.274392655238465
pde5a,,5.982436182803497
hxk4,,0.41450056684439496
hivint,,10.34060554938293
